 Time   1.4959978978313126E-007
              n           NBPV              u           Z(u)
    0.43520E+04    0.81060E+10    0.23373E+07    0.28103E+05
    0.43840E+04    0.70340E+10    0.23545E+07    0.24386E+05
    0.44160E+04    0.61031E+10    0.23717E+07    0.21159E+05
    0.44480E+04    0.52948E+10    0.23889E+07    0.18357E+05
    0.44800E+04    0.45931E+10    0.24061E+07    0.15924E+05
    0.45120E+04    0.39839E+10    0.24232E+07    0.13812E+05
    0.45440E+04    0.34552E+10    0.24404E+07    0.11979E+05
    0.45760E+04    0.29964E+10    0.24576E+07    0.10388E+05
    0.46080E+04    0.25982E+10    0.24748E+07    0.90077E+04
    0.46400E+04    0.22527E+10    0.24920E+07    0.78099E+04
    0.46720E+04    0.19529E+10    0.25092E+07    0.67707E+04
    0.47040E+04    0.16929E+10    0.25264E+07    0.58692E+04
    0.47360E+04    0.14674E+10    0.25435E+07    0.50872E+04
    0.47680E+04    0.12717E+10    0.25607E+07    0.44090E+04
    0.48000E+04    0.11021E+10    0.25779E+07    0.38209E+04
    0.48320E+04    0.95499E+09    0.25951E+07    0.33109E+04
    0.48640E+04    0.82744E+09    0.26123E+07    0.28687E+04
    0.48960E+04    0.71687E+09    0.26295E+07    0.24853E+04
    0.49280E+04    0.62101E+09    0.26467E+07    0.21530E+04
    0.49600E+04    0.53792E+09    0.26638E+07    0.18649E+04
    0.49920E+04    0.46591E+09    0.26810E+07    0.16153E+04
    0.50240E+04    0.40351E+09    0.26982E+07    0.13989E+04
    0.50560E+04    0.34943E+09    0.27154E+07    0.12114E+04
    0.50880E+04    0.30257E+09    0.27326E+07    0.10490E+04
    0.51200E+04    0.26198E+09    0.27498E+07    0.90825E+03
    0.51520E+04    0.22681E+09    0.27670E+07    0.78633E+03
    0.51840E+04    0.19635E+09    0.27841E+07    0.68072E+03
    0.52160E+04    0.16996E+09    0.28013E+07    0.58924E+03
    0.52480E+04    0.14711E+09    0.28185E+07    0.51001E+03
    0.52800E+04    0.12732E+09    0.28357E+07    0.44140E+03
    0.53120E+04    0.11018E+09    0.28529E+07    0.38199E+03
    0.53440E+04    0.95345E+08    0.28701E+07    0.33055E+03
    0.53760E+04    0.82499E+08    0.28873E+07    0.28602E+03
    0.54080E+04    0.71378E+08    0.29045E+07    0.24746E+03
    0.54400E+04    0.61752E+08    0.29216E+07    0.21409E+03
    0.54720E+04    0.53420E+08    0.29388E+07    0.18520E+03
    0.55040E+04    0.46208E+08    0.29560E+07    0.16020E+03
    0.55360E+04    0.39968E+08    0.29732E+07    0.13856E+03
    0.55680E+04    0.34567E+08    0.29904E+07    0.11984E+03
    0.56000E+04    0.29894E+08    0.30076E+07    0.10364E+03
    0.56320E+04    0.25851E+08    0.30248E+07    0.89623E+02
    0.56640E+04    0.22353E+08    0.30419E+07    0.77496E+02
    0.56960E+04    0.19327E+08    0.30591E+07    0.67005E+02
    0.57280E+04    0.16709E+08    0.30763E+07    0.57930E+02
    0.57600E+04    0.14445E+08    0.30935E+07    0.50081E+02
    0.57920E+04    0.12487E+08    0.31107E+07    0.43292E+02
    0.58240E+04    0.10794E+08    0.31279E+07    0.37421E+02
    0.58560E+04    0.93293E+07    0.31451E+07    0.32344E+02
    0.58880E+04    0.80630E+07    0.31622E+07    0.27954E+02
    0.59200E+04    0.69681E+07    0.31794E+07    0.24158E+02
    0.59520E+04    0.60215E+07    0.31966E+07    0.20876E+02
    0.59840E+04    0.52031E+07    0.32138E+07    0.18039E+02
    0.60160E+04    0.44957E+07    0.32310E+07    0.15586E+02
    0.60480E+04    0.38842E+07    0.32482E+07    0.13466E+02
    0.60800E+04    0.33557E+07    0.32654E+07    0.11634E+02
    0.61120E+04    0.28989E+07    0.32825E+07    0.10050E+02
    0.61440E+04    0.25041E+07    0.32997E+07    0.86815E+01
    0.61760E+04    0.21629E+07    0.33169E+07    0.74987E+01
    0.62080E+04    0.18681E+07    0.33341E+07    0.64767E+01
    0.62400E+04    0.16134E+07    0.33513E+07    0.55937E+01
    0.62720E+04    0.13934E+07    0.33685E+07    0.48307E+01
    0.63040E+04    0.12032E+07    0.33857E+07    0.41715E+01
    0.63360E+04    0.10390E+07    0.34028E+07    0.36021E+01
    0.63680E+04    0.89711E+06    0.34200E+07    0.31102E+01
    0.64000E+04    0.77456E+06    0.34372E+07    0.26853E+01
