============================== SRIM-2003.24 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1000000.E-07 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E-02 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000385   2.9543E+01  5.5015E+00 -1.5242E+00
0000386   1.6932E+01 -1.8583E+01 -2.9899E+01
0000387   9.8357E+00  4.7911E+00  4.6811E+00
0000388   1.3557E+01 -1.9928E+01 -1.0221E+01
0000389   1.9250E+01  4.3431E+00 -8.0260E+00
0000390   2.6277E+00 -3.2162E+00  4.3258E-01
0000393   3.9088E+00 -1.3716E+01 -3.5550E+00
0000396   2.6879E+01  6.2322E+00  1.5002E+01
0000397   2.6423E+01  2.4873E+01  2.0725E+01
0000398   7.3206E+00 -6.5783E+00  1.2301E+01
0000399   3.1239E+01 -1.8467E+01 -1.2467E+01
0000400   1.5208E+01  6.4369E+00 -1.4247E+01
0000401   5.4111E+00 -1.4756E+01  5.8278E+00
0000402   5.3157E+00 -4.8130E+00  2.3052E+01
0000404   1.4399E+01  8.3561E+00  3.3202E+01
0000405   1.4630E+01  6.0611E-01  3.9871E+00
0000406   1.7118E+01 -1.3778E+01 -8.1423E+00
0000407   1.4550E+01  6.4145E-01 -1.9542E+00
0000408   1.9729E+01 -3.4599E+00  2.1029E+01
0000410   1.7899E+01 -1.7750E+01  4.3862E+00
0000411   1.4779E+01  1.7128E+01  1.8253E+01
0000412   1.3870E+01 -2.9854E+00  9.0326E+00
0000413   2.2326E+01 -2.3675E+01  2.0079E+00
0000414   1.4993E+01  7.4848E+00  2.3937E+01
0000415   9.2504E+00 -4.2861E+00 -1.9789E+01
0000416   8.3093E+00  2.2505E+00 -1.6756E+01
0000417   1.5263E+01  9.6128E-03  2.0145E+01
0000418   3.2119E+00  7.4219E+00 -3.4410E+01
0000419   1.7163E+01 -1.1461E+01  8.1900E+00
0000420   1.4201E+01  9.1278E+00 -5.4283E+00
0000421   5.1945E+00 -1.4484E+01 -2.7385E+01
0000423   5.1143E+00 -3.0426E+00 -2.8441E+00
0000425   1.5870E+01  2.1020E+01  5.8831E+00
0000427   2.5373E+01 -6.0688E+00 -3.3108E+00
0000428   1.6379E+01 -2.1667E+01 -1.2389E+01
0000429   1.1923E+01 -1.4815E+01 -1.2426E+01
0000430   2.0953E+00  1.3227E+01  1.2806E+01
0000432   1.0724E+01 -1.2125E+01  1.5496E+01
0000434   1.3677E+01  1.7064E+00 -7.4678E+00
0000437   4.2586E+01 -2.4904E+01 -1.6785E+01
0000438   1.3840E+01 -1.1898E+00  1.5599E+01
0000443   4.8860E+00 -1.9156E+01  1.3364E+00
0000447   2.5440E+00 -1.8753E+01  3.3808E+00
0000449   2.4782E+01 -5.0605E+00  1.3637E+00
0000452   2.1723E+01  2.6850E+00  8.5466E+00
0000454   5.6094E+00  1.4406E+01  1.9267E+00
0000456   2.9941E+00  1.4155E+01 -1.4697E+01
0000458   1.7326E+01 -6.8540E+00  6.5153E+00
0000459   3.4059E+01  2.9191E+00  8.0315E+00
0000460   4.0197E+00 -1.2683E+01 -4.6257E+00
0000462   7.8852E+00 -4.8352E+00  8.9773E+00
0000464   3.9141E+00 -6.6766E+00  1.6404E+01
0000466   1.0409E+01  1.2387E+01  4.8637E+00
0000467   5.9225E+00 -7.8781E+00  1.4620E+01
0000468   3.4648E+01  2.4988E+01  5.0582E+00
0000469   2.2611E+01 -7.1854E+00 -6.6058E+00
0000470   1.7330E+01  7.7811E+00  1.5747E+01
0000471   4.0792E+00  6.0510E+00  9.2515E+00
0000472   2.7710E+01  7.3182E-01  2.4695E+00
0000473   7.3073E+00  1.1723E+01  5.1936E+00
0000475   2.2098E+01  2.0828E+00  1.0991E+01
0000476   1.3389E+01 -1.6972E+01 -7.2268E+00
0000478   2.8406E+01 -7.4949E+00 -1.9590E+01
0000480   8.1573E+00 -2.3203E+01 -1.0600E+01
0000481   1.6661E+01  1.8857E+01  1.8020E+01
0000482   1.3701E+01 -8.6573E+00 -9.8979E+00
0000483   2.0969E+01 -4.3612E+00  2.9720E+01
0000484   2.5793E+01  1.5044E+01  8.1005E+00
0000485   2.0599E+01  1.8758E+01  1.9484E+01
0000486   2.6052E+01 -1.2077E+00  3.2361E+00
0000487   3.1560E+01 -7.2560E+00 -1.3506E+01
0000488   9.6024E+00  2.8663E+00  3.3323E+00
0000489   4.0979E+00 -5.2675E+00 -8.4615E-01
